ATF	1.0
1	5
Calculation applied: None
"Name [Measurement Set Info]=ChlamyLugol10xRuben"
"Plate ID"	"Well Name"	"Site ID"	"MEASUREMENT SET ID"	"Cell Count (ChlamyLugol10xRuben)"
16719	"B08"	5	7249	861.0
16719	"B08"	6	7249	1290.0
16719	"B08"	7	7249	882.0
16719	"B08"	8	7249	922.0
16719	"B08"	9	7249	823.0
16719	"B09"	1	7249	2005.0
16719	"B09"	2	7249	1537.0
16719	"B09"	3	7249	1750.0
16719	"B09"	4	7249	1656.0
16719	"B09"	5	7249	1569.0
16719	"B09"	6	7249	1768.0
16719	"B09"	7	7249	1585.0
16719	"B09"	8	7249	1517.0
16719	"B09"	9	7249	1440.0
16719	"B10"	1	7249	904.0
16719	"B10"	2	7249	551.0
16719	"B10"	3	7249	791.0
16719	"B10"	4	7249	583.0
16719	"B10"	5	7249	475.0
16719	"B10"	6	7249	1013.0
16719	"B10"	7	7249	479.0
16719	"B10"	8	7249	461.0
16719	"B10"	9	7249	474.0
16719	"B11"	1	7249	1287.0
16719	"B11"	2	7249	1013.0
16719	"B11"	3	7249	1281.0
16719	"B11"	4	7249	1478.0
16719	"B11"	5	7249	931.0
16719	"B11"	6	7249	1911.0
16719	"B11"	7	7249	1148.0
16719	"B11"	8	7249	1016.0
16719	"B11"	9	7249	1128.0
16719	"B12"	1	7249	562.0
16719	"B12"	2	7249	400.0
16719	"B12"	3	7249	524.0
16719	"B12"	4	7249	470.0
16719	"B12"	5	7249	415.0
16719	"B12"	6	7249	1108.0
16719	"B12"	7	7249	401.0
16719	"B12"	8	7249	427.0
16719	"B12"	9	7249	452.0
16719	"C01"	1	7249	1038.0
16719	"C01"	2	7249	1169.0
16719	"C01"	3	7249	750.0
16719	"C01"	4	7249	2088.0
16719	"C01"	5	7249	776.0
16719	"C01"	6	7249	895.0
16719	"C01"	7	7249	971.0
16719	"C01"	8	7249	753.0
16719	"C01"	9	7249	792.0
16719	"C02"	1	7249	1065.0
16719	"C02"	2	7249	1072.0
16719	"C02"	3	7249	796.0
16719	"C02"	4	7249	1748.0
16719	"C02"	5	7249	688.0
16719	"C02"	6	7249	951.0
16719	"C02"	7	7249	892.0
16719	"C02"	8	7249	742.0
16719	"C02"	9	7249	773.0
16719	"C03"	1	7249	989.0
16719	"C03"	2	7249	802.0
16719	"C03"	3	7249	782.0
16719	"C03"	4	7249	911.0
16719	"C03"	5	7249	739.0
16719	"C03"	6	7249	849.0
16719	"C03"	7	7249	664.0
16719	"C03"	8	7249	864.0
16719	"C03"	9	7249	766.0
16719	"D01"	1	7249	1893.0
16719	"D01"	2	7249	1709.0
16719	"D01"	3	7249	1691.0
16719	"D01"	4	7249	2760.0
16719	"D01"	5	7249	1599.0
16719	"D01"	6	7249	2363.0
16719	"D01"	7	7249	1881.0
16719	"D01"	8	7249	2058.0
16719	"D01"	9	7249	2156.0
16719	"D02"	1	7249	662.0
16719	"D02"	2	7249	779.0
16719	"D02"	3	7249	577.0
16719	"D02"	4	7249	1778.0
16719	"D02"	5	7249	493.0
16719	"D02"	6	7249	663.0
16719	"D02"	7	7249	759.0
16719	"D02"	8	7249	492.0
16719	"D02"	9	7249	707.0
16719	"D03"	1	7249	1493.0
16719	"D03"	2	7249	1442.0
16719	"D03"	3	7249	1281.0
16719	"D03"	4	7249	1769.0
16719	"D03"	5	7249	1289.0
16719	"D03"	6	7249	1365.0
16719	"D03"	7	7249	1394.0
16719	"D03"	8	7249	1193.0
16719	"D03"	9	7249	1234.0
16719	"D04"	1	7249	1368.0
16719	"D04"	2	7249	1338.0
16719	"D04"	3	7249	1406.0
16719	"D04"	4	7249	1316.0
16719	"D04"	5	7249	1315.0
16719	"D04"	6	7249	1421.0
16719	"D04"	7	7249	1315.0
16719	"D04"	8	7249	1424.0
16719	"D04"	9	7249	1357.0
16719	"D05"	1	7249	1665.0
16719	"D05"	2	7249	1521.0
16719	"D05"	3	7249	1422.0
16719	"D05"	4	7249	1411.0
16719	"D05"	5	7249	1145.0
16719	"D05"	6	7249	1177.0
16719	"D05"	7	7249	1137.0
16719	"D05"	8	7249	1050.0
16719	"D05"	9	7249	1140.0
16719	"D06"	1	7249	2204.0
16719	"D06"	2	7249	2047.0
16719	"D06"	3	7249	2067.0
16719	"D06"	4	7249	1930.0
16719	"D06"	5	7249	1852.0
16719	"D06"	6	7249	2092.0
16719	"D06"	7	7249	1729.0
16719	"D06"	8	7249	1978.0
16719	"D06"	9	7249	1782.0
16719	"D07"	1	7249	2680.0
16719	"D07"	2	7249	2444.0
16719	"D07"	3	7249	2525.0
16719	"D07"	4	7249	2383.0
16719	"D07"	5	7249	2323.0
16719	"D07"	6	7249	2502.0
16719	"D07"	7	7249	2278.0
16719	"D07"	8	7249	2187.0
16719	"D07"	9	7249	2283.0
16719	"D08"	1	7249	2503.0
16719	"D08"	2	7249	2165.0
16719	"D08"	3	7249	2601.0
16719	"D08"	4	7249	2356.0
16719	"D08"	5	7249	2304.0
16719	"D08"	6	7249	2762.0
16719	"D08"	7	7249	2492.0
16719	"D08"	8	7249	2637.0
16719	"D08"	9	7249	2533.0
16719	"D09"	1	7249	2134.0
16719	"D09"	2	7249	2169.0
16719	"D09"	3	7249	2079.0
16719	"D09"	4	7249	2346.0
16719	"D09"	5	7249	2093.0
16719	"D09"	6	7249	2378.0
16719	"D09"	7	7249	2251.0
16719	"D09"	8	7249	1957.0
16719	"D09"	9	7249	2041.0
16719	"D10"	1	7249	1353.0
16719	"D10"	2	7249	1236.0
16719	"D10"	3	7249	1354.0
16719	"D10"	4	7249	1440.0
16719	"D10"	5	7249	1244.0
16719	"D10"	6	7249	1998.0
16719	"D10"	7	7249	1274.0
16719	"D10"	8	7249	1390.0
16719	"D10"	9	7249	1284.0
16719	"D11"	1	7249	1899.0
16719	"D11"	2	7249	1813.0
16719	"D11"	3	7249	1784.0
16719	"D11"	4	7249	2558.0
16719	"D11"	5	7249	1817.0
16719	"D11"	6	7249	2525.0
16719	"D11"	7	7249	2307.0
16719	"D11"	8	7249	1953.0
16719	"D11"	9	7249	2284.0
16719	"D12"	1	7249	595.0
16719	"D12"	2	7249	470.0
16719	"D12"	3	7249	623.0
16719	"D12"	4	7249	585.0
16719	"D12"	5	7249	396.0
16719	"D12"	6	7249	1900.0
16719	"D12"	7	7249	463.0
16719	"D12"	8	7249	553.0
16719	"D12"	9	7249	593.0
16719	"E01"	1	7249	674.0
16719	"E01"	2	7249	754.0
16719	"E01"	3	7249	581.0
16719	"E01"	4	7249	1859.0
16719	"E01"	5	7249	567.0
16719	"E01"	6	7249	646.0
16719	"E01"	7	7249	936.0
16719	"E01"	8	7249	661.0
16719	"E01"	9	7249	977.0
16719	"E02"	1	7249	1458.0
16719	"E02"	2	7249	1533.0
16719	"E02"	3	7249	1625.0
16719	"E02"	4	7249	2388.0
16719	"E02"	5	7249	1498.0
16719	"E02"	6	7249	2224.0
16719	"E02"	7	7249	1808.0
16719	"E02"	8	7249	1781.0
16719	"E02"	9	7249	2065.0
16719	"E03"	1	7249	771.0
16719	"E03"	2	7249	774.0
16719	"E03"	3	7249	701.0
16719	"E03"	4	7249	1438.0
16719	"E03"	5	7249	669.0
16719	"E03"	6	7249	671.0
16719	"E03"	7	7249	1147.0
16719	"E03"	8	7249	637.0
16719	"E03"	9	7249	1024.0
16719	"E04"	1	7249	837.0
16719	"E04"	2	7249	691.0
16719	"E04"	3	7249	760.0
16719	"E04"	4	7249	1096.0
16719	"E04"	5	7249	769.0
16719	"E04"	6	7249	638.0
16719	"E04"	7	7249	1024.0
16719	"E04"	8	7249	714.0
16719	"E04"	9	7249	1143.0
16719	"E05"	1	7249	1132.0
16719	"E05"	2	7249	925.0
16719	"E05"	3	7249	813.0
16719	"E05"	4	7249	1135.0
16719	"E05"	5	7249	873.0
16719	"E05"	6	7249	817.0
16719	"E05"	7	7249	1024.0
16719	"E05"	8	7249	860.0
16719	"E05"	9	7249	1258.0
16719	"E06"	1	7249	1235.0
16719	"E06"	2	7249	851.0
16719	"E06"	3	7249	912.0
16719	"E06"	4	7249	907.0
16719	"E06"	5	7249	895.0
16719	"E06"	6	7249	1025.0
16719	"E06"	7	7249	963.0
16719	"E06"	8	7249	1074.0
16719	"E06"	9	7249	1408.0
16719	"E07"	1	7249	2679.0
16719	"E07"	2	7249	2244.0
16719	"E07"	3	7249	2637.0
16719	"E07"	4	7249	1971.0
16719	"E07"	5	7249	2172.0
16719	"E07"	6	7249	2462.0
16719	"E07"	7	7249	1841.0
16719	"E07"	8	7249	2152.0
16719	"E07"	9	7249	2016.0
16719	"E08"	1	7249	849.0
16719	"E08"	2	7249	569.0
16719	"E08"	3	7249	737.0
16719	"E08"	4	7249	525.0
16719	"E08"	5	7249	618.0
16719	"E08"	6	7249	1079.0
16719	"E08"	7	7249	589.0
16719	"E08"	8	7249	1075.0
16719	"E08"	9	7249	917.0
16719	"E09"	1	7249	1498.0
16719	"E09"	2	7249	1461.0
16719	"E09"	3	7249	1467.0
16719	"E09"	4	7249	1824.0
16719	"E09"	5	7249	1468.0
16719	"E09"	6	7249	1749.0
