ATF	1.0
1	5
Calculation applied: None
"Name [Measurement Set Info]=ChlamyLugol10xRuben"
"Plate ID"	"Well Name"	"Site ID"	"MEASUREMENT SET ID"	"Cell Count (ChlamyLugol10xRuben)"
16717	"A01"	1	7247	1925.0
16717	"A01"	2	7247	1722.0
16717	"A01"	3	7247	983.0
16717	"A01"	4	7247	2147.0
16717	"A01"	5	7247	1033.0
16717	"A01"	6	7247	1125.0
16717	"A01"	7	7247	1220.0
16717	"A01"	8	7247	1361.0
16717	"A01"	9	7247	1597.0
16717	"A02"	1	7247	3136.0
16717	"A02"	2	7247	1906.0
16717	"A02"	3	7247	1167.0
16717	"A02"	4	7247	2448.0
16717	"A02"	5	7247	1177.0
16717	"A02"	6	7247	1017.0
16717	"A02"	7	7247	1357.0
16717	"A02"	8	7247	1216.0
16717	"A02"	9	7247	1538.0
16717	"A03"	1	7247	3633.0
16717	"A03"	2	7247	1714.0
16717	"A03"	3	7247	857.0
16717	"A03"	4	7247	1717.0
16717	"A03"	5	7247	794.0
16717	"A03"	6	7247	1143.0
16717	"A03"	7	7247	1006.0
16717	"A03"	8	7247	801.0
16717	"A03"	9	7247	1093.0
16717	"A04"	1	7247	4779.0
16717	"A04"	2	7247	2068.0
16717	"A04"	3	7247	1517.0
16717	"A04"	4	7247	1974.0
16717	"A04"	5	7247	1310.0
16717	"A04"	6	7247	1498.0
16717	"A04"	7	7247	1317.0
16717	"A04"	8	7247	1342.0
16717	"A04"	9	7247	1683.0
16717	"A05"	1	7247	4031.0
16717	"A05"	2	7247	1392.0
16717	"A05"	3	7247	1327.0
16717	"A05"	4	7247	1567.0
16717	"A05"	5	7247	977.0
16717	"A05"	6	7247	1224.0
16717	"A05"	7	7247	1291.0
16717	"A05"	8	7247	870.0
16717	"A05"	9	7247	1366.0
16717	"A06"	1	7247	5015.0
16717	"A06"	2	7247	2203.0
16717	"A06"	3	7247	2070.0
16717	"A06"	4	7247	2068.0
16717	"A06"	5	7247	1470.0
16717	"A06"	6	7247	2024.0
16717	"A06"	7	7247	1820.0
16717	"A06"	8	7247	1327.0
16717	"A06"	9	7247	1945.0
16717	"A07"	1	7247	4720.0
16717	"A07"	2	7247	1882.0
16717	"A07"	3	7247	2033.0
16717	"A07"	4	7247	1682.0
16717	"A07"	5	7247	1393.0
16717	"A07"	6	7247	1934.0
16717	"A07"	7	7247	1576.0
16717	"A07"	8	7247	1657.0
16717	"A07"	9	7247	1938.0
16717	"A08"	1	7247	4142.0
16717	"A08"	2	7247	1983.0
16717	"A08"	3	7247	1952.0
16717	"A08"	4	7247	2378.0
16717	"A08"	5	7247	1707.0
16717	"A08"	6	7247	1942.0
16717	"A08"	7	7247	2685.0
16717	"A08"	8	7247	1745.0
16717	"A08"	9	7247	2867.0
16717	"A09"	1	7247	4221.0
16717	"A09"	2	7247	1513.0
16717	"A09"	3	7247	1987.0
16717	"A09"	4	7247	1462.0
16717	"A09"	5	7247	1240.0
16717	"A09"	6	7247	2121.0
16717	"A09"	7	7247	1446.0
16717	"A09"	8	7247	1370.0
16717	"A09"	9	7247	1891.0
16717	"A10"	1	7247	3804.0
16717	"A10"	2	7247	1042.0
16717	"A10"	3	7247	1649.0
16717	"A10"	4	7247	941.0
16717	"A10"	5	7247	939.0
16717	"A10"	6	7247	1881.0
16717	"A10"	7	7247	1047.0
16717	"A10"	8	7247	827.0
16717	"A10"	9	7247	1018.0
16717	"A11"	1	7247	2469.0
16717	"A11"	2	7247	1329.0
16717	"A11"	3	7247	1559.0
16717	"A11"	4	7247	1801.0
16717	"A11"	5	7247	1222.0
16717	"A11"	6	7247	2265.0
16717	"A11"	7	7247	1932.0
16717	"A11"	8	7247	1330.0
16717	"A11"	9	7247	1901.0
16717	"A12"	1	7247	2128.0
16717	"A12"	2	7247	1420.0
16717	"A12"	3	7247	1664.0
16717	"A12"	4	7247	1738.0
16717	"A12"	5	7247	1313.0
16717	"A12"	6	7247	1709.0
16717	"A12"	7	7247	1610.0
16717	"A12"	8	7247	1267.0
16717	"A12"	9	7247	1648.0
16717	"B01"	1	7247	3.0
16717	"B01"	2	7247	4.0
16717	"B01"	3	7247	2.0
16717	"B01"	4	7247	4.0
16717	"B01"	5	7247	2.0
16717	"B01"	6	7247	6.0
16717	"B01"	7	7247	4.0
16717	"B01"	8	7247	7.0
16717	"B01"	9	7247	5.0
16717	"B02"	1	7247	2115.0
16717	"B02"	2	7247	1345.0
16717	"B02"	3	7247	1144.0
16717	"B02"	4	7247	1504.0
16717	"B02"	5	7247	1242.0
16717	"B02"	6	7247	1642.0
16717	"B02"	7	7247	1276.0
16717	"B02"	8	7247	1802.0
16717	"B02"	9	7247	1819.0
16717	"B03"	1	7247	3551.0
16717	"B03"	2	7247	2287.0
16717	"B03"	3	7247	1248.0
16717	"B03"	4	7247	2402.0
16717	"B03"	5	7247	1147.0
16717	"B03"	6	7247	1138.0
16717	"B03"	7	7247	1467.0
16717	"B03"	8	7247	1287.0
16717	"B03"	9	7247	2090.0
16717	"B04"	1	7247	4348.0
16717	"B04"	2	7247	2310.0
16717	"B04"	3	7247	1818.0
16717	"B04"	4	7247	2707.0
16717	"B04"	5	7247	1768.0
16717	"B04"	6	7247	1790.0
16717	"B04"	7	7247	2012.0
16717	"B04"	8	7247	1942.0
16717	"B04"	9	7247	2730.0
16717	"B05"	1	7247	4254.0
16717	"B05"	2	7247	1977.0
16717	"B05"	3	7247	1502.0
16717	"B05"	4	7247	1882.0
16717	"B05"	5	7247	1367.0
16717	"B05"	6	7247	1516.0
