ATF	1.0
1	5
Calculation applied: None
"Name [Measurement Set Info]=ChlamyLugol10xRuben"
"Plate ID"	"Well Name"	"Site ID"	"MEASUREMENT SET ID"	"Cell Count (ChlamyLugol10xRuben)"
16572	"A01"	1	7234	1917.0
16572	"A01"	2	7234	1917.0
16572	"A01"	3	7234	1932.0
16572	"A01"	4	7234	1802.0
16572	"A01"	5	7234	1748.0
16572	"A01"	6	7234	2706.0
16572	"A01"	7	7234	1804.0
16572	"A01"	8	7234	1917.0
16572	"A01"	9	7234	1916.0
16572	"A02"	1	7234	2248.0
16572	"A02"	2	7234	2104.0
16572	"A02"	3	7234	2203.0
16572	"A02"	4	7234	2076.0
16572	"A02"	5	7234	2111.0
16572	"A02"	6	7234	2370.0
16572	"A02"	7	7234	2144.0
16572	"A02"	8	7234	2490.0
16572	"A02"	9	7234	2252.0
16572	"A03"	1	7234	2076.0
16572	"A03"	2	7234	1961.0
16572	"A03"	3	7234	2153.0
16572	"A03"	4	7234	1758.0
16572	"A03"	5	7234	2028.0
16572	"A03"	6	7234	2173.0
16572	"A03"	7	7234	1944.0
16572	"A03"	8	7234	1990.0
16572	"A03"	9	7234	2109.0
16572	"A04"	1	7234	1703.0
16572	"A04"	2	7234	1596.0
16572	"A04"	3	7234	1659.0
16572	"A04"	4	7234	1322.0
16572	"A04"	5	7234	1551.0
16572	"A04"	6	7234	1697.0
16572	"A04"	7	7234	1491.0
16572	"A04"	8	7234	1669.0
16572	"A04"	9	7234	1605.0
16572	"A05"	1	7234	1761.0
16572	"A05"	2	7234	1493.0
16572	"A05"	3	7234	1693.0
16572	"A05"	4	7234	1351.0
16572	"A05"	5	7234	1525.0
16572	"A05"	6	7234	1683.0
16572	"A05"	7	7234	1438.0
16572	"A05"	8	7234	1550.0
16572	"A05"	9	7234	1607.0
16572	"A06"	1	7234	1412.0
16572	"A06"	2	7234	1346.0
16572	"A06"	3	7234	1349.0
16572	"A06"	4	7234	1148.0
16572	"A06"	5	7234	1291.0
16572	"A06"	6	7234	1439.0
16572	"A06"	7	7234	1186.0
16572	"A06"	8	7234	1304.0
16572	"A06"	9	7234	1516.0
16572	"A07"	1	7234	2086.0
16572	"A07"	2	7234	1823.0
16572	"A07"	3	7234	1896.0
16572	"A07"	4	7234	1654.0
16572	"A07"	5	7234	1621.0
16572	"A07"	6	7234	1948.0
16572	"A07"	7	7234	1554.0
16572	"A07"	8	7234	1755.0
16572	"A07"	9	7234	1995.0
16572	"A08"	1	7234	2828.0
16572	"A08"	2	7234	2226.0
16572	"A08"	3	7234	2412.0
16572	"A08"	4	7234	2313.0
16572	"A08"	5	7234	2045.0
16572	"A08"	6	7234	2223.0
16572	"A08"	7	7234	2177.0
16572	"A08"	8	7234	2070.0
16572	"A08"	9	7234	2524.0
16572	"A09"	1	7234	1713.0
16572	"A09"	2	7234	1318.0
16572	"A09"	3	7234	1524.0
16572	"A09"	4	7234	1365.0
16572	"A09"	5	7234	1412.0
16572	"A09"	6	7234	1832.0
16572	"A09"	7	7234	1309.0
16572	"A09"	8	7234	1509.0
16572	"A09"	9	7234	1662.0
16572	"A10"	1	7234	2614.0
16572	"A10"	2	7234	1971.0
16572	"A10"	3	7234	2162.0
16572	"A10"	4	7234	1905.0
16572	"A10"	5	7234	1785.0
16572	"A10"	6	7234	2048.0
16572	"A10"	7	7234	1760.0
16572	"A10"	8	7234	1858.0
16572	"A10"	9	7234	2037.0
16572	"A11"	1	7234	1622.0
16572	"A11"	2	7234	1307.0
16572	"A11"	3	7234	1433.0
16572	"A11"	4	7234	1178.0
16572	"A11"	5	7234	1326.0
16572	"A11"	6	7234	1417.0
16572	"A11"	7	7234	1213.0
16572	"A11"	8	7234	1260.0
16572	"A11"	9	7234	1462.0
16572	"A12"	1	7234	2526.0
16572	"A12"	2	7234	2002.0
16572	"A12"	3	7234	2392.0
16572	"A12"	4	7234	1854.0
16572	"A12"	5	7234	1810.0
16572	"A12"	6	7234	2307.0
16572	"A12"	7	7234	1882.0
16572	"A12"	8	7234	1971.0
16572	"A12"	9	7234	1791.0
16572	"B01"	1	7234	2018.0
16572	"B01"	2	7234	1788.0
16572	"B01"	3	7234	2093.0
16572	"B01"	4	7234	1628.0
16572	"B01"	5	7234	1972.0
16572	"B01"	6	7234	2169.0
16572	"B01"	7	7234	1695.0
16572	"B01"	8	7234	2003.0
16572	"B01"	9	7234	1864.0
16572	"B02"	1	7234	1445.0
16572	"B02"	2	7234	1300.0
16572	"B02"	3	7234	1493.0
16572	"B02"	4	7234	1151.0
16572	"B02"	5	7234	1572.0
16572	"B02"	6	7234	1720.0
16572	"B02"	7	7234	1280.0
16572	"B02"	8	7234	1811.0
16572	"B02"	9	7234	1494.0
16572	"B03"	1	7234	1098.0
16572	"B03"	2	7234	1391.0
16572	"B03"	3	7234	1326.0
16572	"B03"	4	7234	1229.0
16572	"B03"	5	7234	1442.0
16572	"B03"	6	7234	1698.0
16572	"B03"	7	7234	1552.0
16572	"B03"	8	7234	1918.0
16572	"B03"	9	7234	1596.0
16572	"B04"	1	7234	2137.0
16572	"B04"	2	7234	1969.0
16572	"B04"	3	7234	2156.0
16572	"B04"	4	7234	1924.0
16572	"B04"	5	7234	2283.0
16572	"B04"	6	7234	2303.0
16572	"B04"	7	7234	2083.0
16572	"B04"	8	7234	2313.0
16572	"B04"	9	7234	2421.0
16572	"B05"	1	7234	1317.0
16572	"B05"	2	7234	1292.0
16572	"B05"	3	7234	1465.0
16572	"B05"	4	7234	1209.0
16572	"B05"	5	7234	1397.0
16572	"B05"	6	7234	1613.0
16572	"B05"	7	7234	1357.0
16572	"B05"	8	7234	1543.0
16572	"B05"	9	7234	1736.0
