\\ISX\ISX Data\Data_Ruben\IER trait centrfigued\Non-salt treatments\Run 1 Day 7+8\E07_5.daf
All

Object Number	Area_M01	Area_M02	Area_M03	Area_M04	Area_M05	Area_M06	Area_M07	Area_M08	Area_M09	Area_M10	Area_M11	Area_M12	Area_MC	Height_M01	Height_M02	Height_M03	Height_M04	Height_M05	Height_M06	Height_M07	Height_M08	Height_M09	Height_M10	Height_M11	Height_M12	Length_M01	Length_M02	Length_M03	Length_M04	Length_M05	Length_M06	Length_M07	Length_M08	Length_M09	Length_M10	Length_M11	Length_M12	Width_M01	Width_M02	Width_M03	Width_M04	Width_M05	Width_M06	Width_M07	Width_M08	Width_M09	Width_M10	Width_M11	Width_M12	Aspect Ratio Intensity_M01_Ch01	Aspect Ratio Intensity_M02_Ch02	Aspect Ratio Intensity_M03_Ch03	Aspect Ratio Intensity_M04_Ch04	Aspect Ratio Intensity_M05_Ch05	Aspect Ratio Intensity_M06_Ch06	Aspect Ratio Intensity_M07_Ch07	Aspect Ratio Intensity_M08_Ch08	Aspect Ratio Intensity_M09_Ch09	Aspect Ratio Intensity_M10_Ch10	Aspect Ratio Intensity_M11_Ch11	Aspect Ratio Intensity_M12_Ch12	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M03	Aspect Ratio_M04	Aspect Ratio_M05	Aspect Ratio_M06	Aspect Ratio_M07	Aspect Ratio_M08	Aspect Ratio_M09	Aspect Ratio_M10	Aspect Ratio_M11	Aspect Ratio_M12	Bright Detail Intensity R3_MC_Ch01	Bright Detail Intensity R3_MC_Ch02	Bright Detail Intensity R3_MC_Ch03	Bright Detail Intensity R3_MC_Ch04	Bright Detail Intensity R3_MC_Ch05	Bright Detail Intensity R3_MC_Ch06	Bright Detail Intensity R3_MC_Ch07	Bright Detail Intensity R3_MC_Ch08	Bright Detail Intensity R3_MC_Ch09	Bright Detail Intensity R3_MC_Ch10	Bright Detail Intensity R3_MC_Ch11	Bright Detail Intensity R3_MC_Ch12	Contrast_M01_Ch01	Contrast_M02_Ch02	Contrast_M03_Ch03	Contrast_M04_Ch04	Contrast_M05_Ch05	Contrast_M06_Ch06	Contrast_M07_Ch07	Contrast_M08_Ch08	Contrast_M09_Ch09	Contrast_M10_Ch10	Contrast_M11_Ch11	Contrast_M12_Ch12	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M03_Ch03	Gradient RMS_M04_Ch04	Gradient RMS_M05_Ch05	Gradient RMS_M06_Ch06	Gradient RMS_M07_Ch07	Gradient RMS_M08_Ch08	Gradient RMS_M09_Ch09	Gradient RMS_M10_Ch10	Gradient RMS_M11_Ch11	Gradient RMS_M12_Ch12	Modulation_M01_Ch01	Modulation_M02_Ch02	Modulation_M03_Ch03	Modulation_M04_Ch04	Modulation_M05_Ch05	Modulation_M06_Ch06	Modulation_M07_Ch07	Modulation_M08_Ch08	Modulation_M09_Ch09	Modulation_M10_Ch10	Modulation_M11_Ch11	Modulation_M12_Ch12	Bkgd Mean_Ch01	Bkgd Mean_Ch02	Bkgd Mean_Ch03	Bkgd Mean_Ch04	Bkgd Mean_Ch05	Bkgd Mean_Ch06	Bkgd Mean_Ch07	Bkgd Mean_Ch08	Bkgd Mean_Ch09	Bkgd Mean_Ch10	Bkgd Mean_Ch11	Bkgd Mean_Ch12	Intensity_MC_Ch01	Intensity_MC_Ch02	Intensity_MC_Ch03	Intensity_MC_Ch04	Intensity_MC_Ch05	Intensity_MC_Ch06	Intensity_MC_Ch07	Intensity_MC_Ch08	Intensity_MC_Ch09	Intensity_MC_Ch10	Intensity_MC_Ch11	Intensity_MC_Ch12	Max Pixel_MC_Ch01	Max Pixel_MC_Ch02	Max Pixel_MC_Ch03	Max Pixel_MC_Ch04	Max Pixel_MC_Ch05	Max Pixel_MC_Ch06	Max Pixel_MC_Ch07	Max Pixel_MC_Ch08	Max Pixel_MC_Ch09	Max Pixel_MC_Ch10	Max Pixel_MC_Ch11	Max Pixel_MC_Ch12	Mean Pixel_M01_Ch01	Mean Pixel_M02_Ch02	Mean Pixel_M03_Ch03	Mean Pixel_M04_Ch04	Mean Pixel_M05_Ch05	Mean Pixel_M06_Ch06	Mean Pixel_M07_Ch07	Mean Pixel_M08_Ch08	Mean Pixel_M09_Ch09	Mean Pixel_M10_Ch10	Mean Pixel_M11_Ch11	Mean Pixel_M12_Ch12	Median Pixel_M01_Ch01	Median Pixel_M02_Ch02	Median Pixel_M03_Ch03	Median Pixel_M04_Ch04	Median Pixel_M05_Ch05	Median Pixel_M06_Ch06	Median Pixel_M07_Ch07	Median Pixel_M08_Ch08	Median Pixel_M09_Ch09	Median Pixel_M10_Ch10	Median Pixel_M11_Ch11	Median Pixel_M12_Ch12	Raw Max Pixel_MC_Ch01	Raw Max Pixel_MC_Ch02	Raw Max Pixel_MC_Ch03	Raw Max Pixel_MC_Ch04	Raw Max Pixel_MC_Ch05	Raw Max Pixel_MC_Ch06	Raw Max Pixel_MC_Ch07	Raw Max Pixel_MC_Ch08	Raw Max Pixel_MC_Ch09	Raw Max Pixel_MC_Ch10	Raw Max Pixel_MC_Ch11	Raw Max Pixel_MC_Ch12	Raw Min Pixel_MC_Ch01	Raw Min Pixel_MC_Ch02	Raw Min Pixel_MC_Ch03	Raw Min Pixel_MC_Ch04	Raw Min Pixel_MC_Ch05	Raw Min Pixel_MC_Ch06	Raw Min Pixel_MC_Ch07	Raw Min Pixel_MC_Ch08	Raw Min Pixel_MC_Ch09	Raw Min Pixel_MC_Ch10	Raw Min Pixel_MC_Ch11	Raw Min Pixel_MC_Ch12	Saturation Count_M01_Ch01	Saturation Count_M02_Ch02	Saturation Count_M03_Ch03	Saturation Count_M04_Ch04	Saturation Count_M05_Ch05	Saturation Count_M06_Ch06	Saturation Count_M07_Ch07	Saturation Count_M08_Ch08	Saturation Count_M09_Ch09	Saturation Count_M10_Ch10	Saturation Count_M11_Ch11	Saturation Count_M12_Ch12	Saturation Percent_M01_Ch01	Saturation Percent_M02_Ch02	Saturation Percent_M03_Ch03	Saturation Percent_M04_Ch04	Saturation Percent_M05_Ch05	Saturation Percent_M06_Ch06	Saturation Percent_M07_Ch07	Saturation Percent_M08_Ch08	Saturation Percent_M09_Ch09	Saturation Percent_M10_Ch10	Saturation Percent_M11_Ch11	Saturation Percent_M12_Ch12
0	102	61	49,5	44	73,25	69,25	60,75	63	98,75	59,25	91	81	108	12,5	9	8,5	7,5	10	9,5	9	9,5	12	8,5	11	10	12,5	9	8,5	7,5	10	9,5	9	9,5	12	8,5	11	10	10,5	8,5	7,5	7	9	8,5	8	8,5	10,5	8,5	10	9,5	0,920588783250014	0,935691862104837	0,876465526518904	0,881819755370523	0,898840327903454	0,898972107908254	0,907853477336531	0,909067478178515	0,902682693419684	0,868507308688052	0,909755887575921	0,946999127295175	0,776530975308084	0,920394712061539	0,870208879265301	0,936345293394221	0,904162794612959	0,879807582354523	0,868567113290781	0,86435466331419	0,872042394333459	0,972433194051469	0,899997725908187	0,937645518687909	15984,999222517	1884,99996972084	935,000009536743	980,999969601631	21769,000002861	3009,00005859137	964,999998569489	975,999972224236	18564,0000095367	979,000119924545	25587,0007915497	6376,99999952316	36,7231209434287	122,430164539912	21,8043093894994	16,4228884880788	99,9765606114861	44,632732040645	18,5634804013916	11,3546048332903	17,7207775747268	17,2168438271202	35,158248633985	36,6302689788117	40,0916190555175	26,4659783820976	24,6794814088801	25,0272954811559	28,4699246582427	26,9116526563383	24,5308070759966	23,8110004841519	65,4766022596382	25,3611850667004	24,2388712834942	24,8828264144702	0,321895424836601	0,794871794871795	0,311111111111111	0,204819277108434	0,899419729206963	0,68780487804878	0,385964912280702	0,418803418803419	0,229960578186597	0,37037037037037	0,930320150659134	0,82646420824295	778,320754716981	4,80792682926829	26,8384146341463	29,1158536585366	29,4329268292683	28,4481707317073	31,5823170731707	30,5365853658537	774,98773006135	31,3658536585366	30,5213414634146	30,8109756097561	-38094,5660377357	7964,97560975605	4198,8048780488	2466,95121951219	106077,975609757	16564,3902439024	5987,43902439021	6731,19512195116	-9689,6993865031	5215,95121951223	258770,780487806	48125,6585365856	48,6792452830189	75,1920731707317	33,1615853658537	23,8841463414634	1012,56707317073	160,551829268293	49,4176829268293	54,4634146341463	254,01226993865	46,6341463414634	2189,47865853659	437,189024390244	-93,7766370699219	31,888794482207	19,5201712244395	12,5148281596453	356,75137351203	58,9742119397725	23,7592467128375	25,6300813008129	-25,3649452512232	21,5624163836576	706,390746448677	146,781616982837	-23,8207547169811	36,1920731707317	22,1615853658537	12,8841463414634	351,567073170732	59,5518292682927	23,4176829268293	26,4634146341463	-13,9877300613497	22,6341463414634	415,978658536585	112,189024390244	827	80	60	53	1042	189	81	85	1029	78	2220	468	322	1	23	26	27	25	29	28	540	29	39	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	133,25	56,25	47	0	71,5	59	49,25	52,5	134,25	47,75	69,75	61,75	139	13	8,5	8	0	9,5	9	8	8	13	8	9	9	13	8,5	8	0	9,5	9	8	8	13	8	9	9	12,5	8,5	7,5	0	9,5	8,5	8	8	12,5	7,5	9	8,5	0,943999992049642	0,506839019902986	0,862704157233665	0	0,94219208348833	0,890373061737148	0,976705603931744	0,88977455007881	0,923082423943109	0,861378100104946	0,947122093037291	0,649678157122415	0,927826425019985	0,954606956267689	0,917362454816263	0	0,969921678538794	0,977087972001063	0,965340053810896	0,958078122219523	0,908495509194223	0,916216887755684	0,963544881578794	0,840694314462106	28469,0000469685	2526,99997138977	1112	1137	6463,99998247623	1752,0000936985	1386	805	32106,0007727146	1272,00005316734	12315,0014829636	13133,0006074905	35,586339316407	508,129076824394	14,2642350418055	0	24,3275222004627	14,8955296524939	11,5684976836532	6,24842048165293	30,6155277159098	20,9240741472669	9,31147259741086	71,4597385753228	39,684172959607	40,0966795999228	23,1415786059518	0	23,6804600644057	22,7291892776854	23,110616320077	20,8073740726976	49,2454191523411	23,8619129034651	20,5436748382216	29,6135923752033	0,483922829581994	0,818181818181818	0,220779220779221	0	0,792060491493384	0,518248175182482	0,252525252525253	0,26	0,383259911894273	0,244444444444444	0,816108339272986	0,827195467422096	777,099431818182	6,05681818181818	26,84375	28,84375	29,6505681818182	28,9801136363636	33,28125	32,09375	774,991477272727	30,0710227272727	30,2954545454545	30,7017045454545	-44611,2840909094	7611,40909090914	2057,875	1160,875	44377,2840909094	8117,05681818172	3392,625	3793,875	-23876,2613636365	2927,51136363641	146871,727272729	49241,8522727269	194,900568181818	225,943181818182	23,15625	14,15625	508,349431818182	80,0198863636364	31,71875	32,90625	198,008522727273	29,9289772727273	1323,70454545455	814,298295454545	-84,3339533941674	33,9387373737375	10,2041223404255	0	147,062718531469	33,1512422958396	13,3786484771574	15,4633928571429	-44,8033953360423	14,0912809376488	483,141821440209	184,419752944423	20,9005681818181	31,9431818181818	10,15625	0	103,849431818182	30,5198863636364	11,71875	13,90625	13,0085227272727	12,9289772727273	374,704545454545	140,298295454545	972	232	50	43	538	109	65	65	973	60	1354	845	265	0	22	25	27	23	30	29	344	23	39	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	183,5	152,75	130,25	104,25	104,75	97,75	134	132,75	183,75	123	150,75	129,75	187,75	15	14	13	11,5	11,5	12,5	13	13	14,5	13	13,5	13	15	14	13	11,5	11,5	12,5	13	13	14,5	13	13,5	13	14,5	13,5	12,5	11,5	11	10,5	13	13	14,5	12	13	12,5	0,83604238688023	0,872947529373049	0,883915349628306	0,883210330048088	0,707731037770015	0,775396516878548	0,979220520292862	0,958434376630817	0,739660509987057	0,963370083277567	0,982223175515833	0,945575447672873	0,970884254745619	0,943598478451602	0,959127043423882	0,917680429811149	0,924811768860413	0,818144227017225	0,933710502454917	0,952968544050639	0,984622331601855	0,907454132925376	0,950671731041028	0,905777897832158	42415	2364	1769,00000762939	1569,99999165535	17358	3605,00000333786	1682,00000810623	1339,99993318319	43767,0001120567	1232,9999216795	40979	5490,00032961369	38,9899196183637	17,6494001691807	13,7508572439882	12,537481811775	58,8902266305503	29,629516765857	9,12207299147611	4,55321792465625	16,6542973050792	6,69114672989237	13,0638209825563	11,3914459018729	51,7899662508073	16,1189948917291	17,599122852192	18,2814543367023	25,9073059044296	25,6044038501647	18,033236977095	17,4238434151012	62,0611506465562	18,2467491482568	18,3643678697791	17,9346585909138	0,309992706053975	0,829059829059829	0,386138613861386	0,232558139534884	0,864532019704433	0,606936416184971	0,435114503816794	0,478260869565217	0,266917293233083	0,423728813559322	0,931063122923588	0,767554479418886	779,71875	6,3125	26,9772727272727	28,9744318181818	29,4375	28,9914772727273	33,4147727272727	32,6306818181818	778,559659090909	30,0568181818182	31,0625	31,2613636363636	-51334,78125	31873,3125	11982,0681818183	5851,20170454539	93805,4375	14109,4005681816	14716,5056818184	16128,3579545454	-8652,30397727272	12360,3295454546	511714,0625	71429,715909091	340,28125	109,6875	48,0227272727273	28,0255681818182	988,5625	140,008522727273	71,5852272727273	80,3693181818182	419,440340909091	67,9431818181818	2857,9375	405,738636363636	-70,0334638964578	51,8560761047463	22,5390420519981	12,963218061914	217,691378281623	34,9676020111599	27,0684362279514	30,0209189351137	-11,8127203153989	24,6809866962307	840,637334162521	134,721295323175	-51,71875	52,6875	24,0227272727273	13,0255681818182	118,5625	20,0085227272727	25,0852272727273	29,3693181818182	-12,5596590909091	23,9431818181818	706,9375	122,738636363636	1120	116	75	57	1018	169	105	113	1198	98	2889	437	333	3	24	25	26	21	31	30	463	25	40	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	78	30	22,75	16,5	39,75	37	35,75	37,75	70	29,75	60,5	50	82	13,5	6,5	5,5	4,5	7	7	6,5	7	12,5	6	9	8,5	13,5	6,5	5,5	4,5	7	7	6,5	7	12,5	6	9	8,5	9,5	6	4,5	4,5	7	6,5	6,5	6,5	9	6	8,5	7,5	0,874216723556274	0,819673174633692	0,84104407645617	0,884508704269045	0,93255486123228	0,941870499633572	0,897502324366031	0,965463229929229	0,789665818891269	0,933018019793896	0,923897452184054	0,971041178021746	0,736902743418513	0,82623477108257	0,818162347113544	0,811106699658253	0,94866675711287	0,943163633991674	0,925000575481536	0,912419561054984	0,654624170754571	0,875589900893528	0,907789501661308	0,942286750579189	8421,99999880791	1109,99995577335	866,000019490719	750,000009298325	9448,00083506107	2056	686,00003606081	627,999996364117	8153,00001382828	712,999995350838	19765,9984416962	3687,00001430511	25,5716661157944	93,777621013756	15,9776127798403	14,1374457011513	65,9724219552356	28,359599545435	11,7229079110892	5,90607348300396	13,1326890206691	14,1001502129051	25,9073505636649	17,3639019505474	45,6844864503566	30,5922835540336	28,8446121477516	30,3483804647763	31,3856891271042	30,5789529520517	25,3214476148734	25,71801471176	56,1543977524729	28,7469625201538	27,4711312262864	27,4621037495254	0,390048154093098	0,678571428571429	0,234567901234568	0,168831168831169	0,8475	0,617977528089888	0,292929292929293	0,3	0,222222222222222	0,284210526315789	0,89446916719644	0,734138972809668	778,146341463415	5,71646341463415	26,9329268292683	29,0182926829268	29,4207317073171	28,5	32,6615853658537	31,3048780487805	775,387195121951	30,3414634146341	30,4115853658537	30,8079268292683	-15404	2595,99999999999	1386,99999999999	881,000000000003	39162,0000000002	6273	2267,00000000001	2421,99999999999	-4088,00000000005	1855,00000000001	98424,9999999994	16515,0000000001	117,853658536585	44,2835365853659	24,0670731707317	16,9817073170732	756,579268292683	119,5	34,3384146341463	34,6951219512195	125,612804878049	33,6585365853659	1559,58841463415	271,192073170732	-49,7136491557222	20,1835365853658	12,1439962476548	9,45140428677015	233,434614204633	39,6689189189189	13,7370160327478	14,3573736068487	-14,8871951219514	13,9022340643575	398,699984882078	78,942073170732	4,85365853658539	17,2835365853659	10,0670731707317	9,98170731707317	126,579268292683	25,5	12,3384146341463	11,6951219512195	6,61280487804879	10,6585365853659	203,588414634146	46,1920731707317	896	50	51	46	786	148	67	66	901	64	1590	302	333	2	23	24	26	25	29	30	479	27	34	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	70,25	33,75	29,5	22,5	49	43	33,75	33,5	71	29	63,5	49,75	74,5	10	7	6	5,5	8,5	8,5	7	6,5	10	6,5	9,5	8,5	10	7	6	5,5	8,5	8,5	7	6,5	10	6,5	9,5	8,5	8,5	6	5,5	5	7	6,5	6	5,5	9	5,5	8	7	0,81980882593915	0,873755253959768	0,868837282798428	0,826134429774855	0,726088917883364	0,744638768256283	0,764641798564487	0,778144329341275	0,719831312609902	0,784785274420419	0,749412108028872	0,882157377664155	0,864724955412869	0,857917289468729	0,898531153831406	0,844330646215011	0,834917251937385	0,761931662047064	0,809820364446379	0,844334173639455	0,843415542384679	0,796957003474976	0,838369276402021	0,852335880774406	12375,0003962517	1136,99998950958	659,999997138977	672	9823,9998049736	1462,99999976158	633,999995231628	624	11735,999940753	559,999982237816	18465,9989624023	3880,00000858307	48,0622313360609	107,116640835227	18,3506363641123	14,3464885431115	72,0413514111974	28,6066044133758	12,9860468086465	6,44807464960583	25,4228310729859	17,5763689119687	25,0811362806213	48,9447158460888	46,0751955346789	30,1772543750722	27,5794971331604	27,0927625531673	29,998113470931	28,9332843282576	23,9404041106695	24,3616414033648	55,0289464294236	26,707581025557	25,8435723902995	29,0813103534362	0,42995951417004	0,742857142857143	0,265822784810127	0,131578947368421	0,838709677419355	0,557046979865772	0,244897959183673	0,257731958762887	0,299927378358751	0,260869565217391	0,875195007800312	0,758064516129032	778,617021276596	5,46180555555556	26,5381944444444	28,78125	28,9166666666667	28,2534722222222	32,7951388888889	31,71875	776,402777777778	29,9895833333333	30,3715277777778	30,9201388888889	-21179,8723404257	4196,38194444443	1721,61805555557	994,1875	39354,8333333335	6115,46527777773	2481,04861111113	2537,8125	-8853,02777777772	1971,10416666668	97126,2847222217	18481,798611111	128,382978723404	58,5381944444444	24,4618055555556	16,21875	652,083333333333	98,7465277777778	30,2048611111111	33,28125	143,597222222222	30,0104166666667	1297,62847222222	335,079861111111	-76,1650639812227	30,0493055555555	13,2329919962336	8,96319444444444	192,869047619048	33,8046673126614	14,9085648148148	16,2215485074627	-31,4837636932705	15,174209770115	375,813511592299	88,687901312116	12,3829787234042	35,5381944444444	13,4618055555556	8,21875	129,583333333333	28,7465277777778	14,2048611111111	16,28125	5,59722222222217	15,0104166666667	221,628472222222	59,0798611111111	907	64	51	45	681	127	63	65	920	60	1328	366	296	2	23	25	35	23	31	30	438	26	57	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	74,75	44,5	38	31,75	61	51,75	43,75	47	77,75	39,5	70,5	57,5	81,75	11	8,5	8	7	9,5	9	8,5	9	10,5	8	10,5	9	11	8,5	8	7	9,5	9	8,5	9	10,5	8	10,5	9	8,5	6,5	6	5,5	7,5	7	6,5	6,5	9	6	8,5	8	0,736494860028862	0,710398486337627	0,699068663079374	0,730597486888307	0,775929246617533	0,789741552363298	0,753037329976731	0,761530373084221	0,926068889009848	0,782622730326459	0,780105927802808	0,854382315477369	0,765845467577261	0,766324260236225	0,724041242387529	0,783246216809872	0,789506982801874	0,77926663035774	0,760686042654666	0,742670701042581	0,86865034245039	0,790639896978424	0,806956058929465	0,866878231157462	6339,99948501587	915,999997615814	662,000009179115	687,000003576279	9504,00031924248	1575,0000012517	678,999997138977	567,999933958054	9199,00000047684	826,000008583069	15808,9995708466	6505,00060606003	26,1706821048806	71,8177884745396	13,4254003804381	13,5284155163924	70,7276470086903	32,559864687754	14,2967819346374	10,0130278932466	16,3927607527623	21,8926489212409	28,9392093592605	75,3967929137755	35,3849906947632	27,0962092475898	25,3165878890601	26,6140757780537	28,067546498333	27,5751006987074	25,1662726595292	24,9853975949988	56,3649842682907	26,7999745624793	25,151778506246	30,3234799840425	0,338815789473684	0,726027397260274	0,25	0,173333333333333	0,853333333333333	0,579617834394904	0,288461538461538	0,327102803738318	0,177053824362606	0,326315789473684	0,907608695652174	0,834254143646409	778,222972972973	6,68918918918919	26,5472972972973	28,6621621621622	29,0608108108108	28,8918918918919	33,6790540540541	32,9054054054054	776,074324324324	28,4966216216216	29,3986486486486	30,6655405405405	-31412,9121621623	5511,63513513514	2350,03378378377	1308,47297297298	50344,1148648646	8918,35135135138	3222,94932432431	3753,93243243243	-11207,3040540541	2979,60472972972	139695,641891892	33064,3682432433	63,777027027027	61,3108108108108	26,4527027027027	17,3378378378378	613,939189189189	102,108108108108	37,3209459459459	44,0945945945946	95,9256756756756	41,5033783783784	1447,60135135135	622,334459459459	-106,286518123475	30,0636197995749	14,3605974395448	9,31421579059374	203,512959680992	42,6974800887845	16,9266602316602	18,9775733179988	-36,2994047101766	17,7185682517961	491,051705961281	140,621415981199	-44,222972972973	32,3108108108108	14,4527027027027	9,33783783783784	136,939189189189	38,1081081081081	15,3209459459459	17,0945945945946	-17,0743243243244	16,5033783783784	278,101351351351	93,8344594594595	842	68	53	46	643	131	71	77	872	70	1477	653	346	3	23	24	30	25	31	31	547	26	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	121	56,5	44,5	0	69,75	56,25	53	51,25	116,5	47	84,75	69,5	124	13	8,5	7,5	0	9,5	9	9	8	13	8	11	9,5	13	8,5	7,5	0	9,5	9	9	8	13	8	11	9,5	12	8	7	0	9	8	7,5	8	11,5	7,5	10	9	0,892751639039443	0,675245485064768	0,8995528975427	0	0,787723280094095	0,834905965241307	0,955978184330356	0,971435054088966	0,84932147415599	0,936291059716928	0,951860763302136	0,619019008617837	0,919115866423791	0,905783097861525	0,904164650931574	0	0,947720439600698	0,861280573798243	0,839284022149561	0,96665523746483	0,85687691381056	0,934693213919265	0,920810330617123	0,914783052648492	29553,00076437	2109,99997973442	928,000006198883	1008	10275,0004024506	2210,00002908707	917,999980926514	753,999988079071	28780,9992702007	1010	13412,9997577667	7558,00002098083	58,0401794667376	270,474232151458	19,138426474386	0	65,8923102743359	29,6302761537425	17,547423856838	5,91556723434048	37,2289403222657	15,2166335670571	13,4007253886167	141,85910766155	45,0037845817574	30,6258121392697	21,5263464797255	0	28,1145249645072	26,6259396555527	22,9824135370138	20,3270763863174	56,4934539498527	24,5795261326343	21,5635000826495	32,2159403161792	0,405152224824356	0,763157894736842	0,189189189189189	0	0,832358674463938	0,492307692307692	0,244444444444444	0,247311827956989	0,310144927536232	0,230769230769231	0,874042553191489	0,786407766990291	777,835227272727	4,64488636363636	26,9886363636364	28,9375	29,4772727272727	28,4801136363636	31,5539772727273	30,7784090909091	774,571022727273	31,15625	30,4772727272727	30,6221590909091	-35421,2727272729	6197,13636363642	1989,63636363639	1179	36883,2727272729	6260,86363636356	2911,22727272723	3399,90909090912	-19157,2272727271	2580,5	126658,272727271	30075,4090909093	169,164772727273	92,3551136363636	18,0113636363636	12,0625	533,522727272727	80,5198863636364	26,4460227272727	30,2215909090909	196,428977272727	27,84375	1165,52272727273	615,377840909091	-73,5790289256202	27,1958216009655	9,85967824310525	0	127,655343760183	27,6754419191918	12,4554566895368	15,0167128603105	-41,751280238002	12,8277925531915	362,782314293373	103,536114290386	19,1647727272727	27,3551136363636	10,0113636363636	0	89,5227272727273	23,5198863636364	12,4460227272727	14,2215909090909	8,42897727272725	12,84375	244,522727272727	78,8778409090909	947	97	45	41	563	109	58	61	971	59	1196	646	293	-1	22	26	28	23	28	27	403	24	36	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	103,75	54,25	38	37,75	61,25	57,75	48,25	49,75	97,25	43,75	74,5	64	107,75	14,5	9	7	7,5	9	9,5	8,5	8,5	14	7,5	10,5	9,5	14,5	9	7	7,5	9	9,5	8,5	8,5	14	7,5	10,5	9,5	10	7,5	6	6,5	8	7,5	7	7	10	7	8,5	8,5	0,80039585177401	0,885005618555557	0,713626567848801	0,713160646442464	0,641759986781994	0,660733355226024	0,679305620476824	0,679366363971337	0,950227961426391	0,693938226506596	0,679686544911938	0,770743106662364	0,643998388177531	0,792097783169281	0,850286738568638	0,818529557563823	0,844122419706738	0,817154241890402	0,774577625169409	0,821908372077548	0,67488366519802	0,833193340945311	0,82484301650941	0,896118348301898	13521,9999675751	1442,0000243187	998,000009894371	1066,9999986887	20107,9995467067	3793,99996459484	1272,99987947941	1123,9999730587	13474,9999771118	1314,00010919571	34046,0004617572	6748,99999451637	39,9522314403043	88,037494460922	18,7097723127611	16,5932748526667	84,6954836743937	40,8112477757211	11,9481229534937	10,762867546555	17,6206856234846	17,557725387613	34,0696228282694	30,275685779744	38,4948991319334	25,2791354201984	25,778753902898	27,77566498715	29,8984355694589	28,6987245857259	25,1632505588042	26,1052034937081	63,4027205285846	27,6188112921116	26,3678951837233	25,5260472598139	0,344235486508585	0,733333333333333	0,311827956989247	0,253012048192771	0,91362763915547	0,703703703703704	0,367521367521368	0,409836065573771	0,194407456724368	0,401869158878505	0,936465324384787	0,809110629067245	778,397435897436	6,2724358974359	26,5833333333333	28,7019230769231	29,0416666666667	28,6762820512821	33,6185897435897	32,3846153846154	776,070512820513	29,4134615384615	30,3557692307692	30,8589743589744	-37684,2948717953	6781,58012820519	3241,5833333333	1954,47115384615	86168,0416666659	14122,5224358976	4670,38782051279	5327,23076923081	-12221,3910256412	4164,79807692305	211242,663461536	39481,7820512818	124,602564102564	68,7275641025641	36,4166666666667	24,2980769230769	1063,95833333333	166,323717948718	47,3814102564103	55,6153846153846	248,929487179487	49,5865384615385	2258,64423076923	404,141025641026	-91,2408093914128	30,4234166371264	19,8903508771929	12,1921166581762	346,501190476189	60,7522893772897	23,2726019662548	25,8264398917666	-31,0807955968628	23,3008241758242	701,677787816206	151,160556891026	-20,3974358974359	33,7275641025641	22,4166666666667	12,2980769230769	234,958333333333	46,3237179487179	21,3814102564103	22,6153846153846	-15,0705128205128	21,5865384615385	386,144230769231	108,141025641026	903	75	63	53	1093	195	81	88	1025	79	2289	435	329	2	23	26	27	22	31	30	478	26	31	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0


